player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Scoot Henderson,POR,4,5.3,2.5,,1,2026-03-18T05:03:38.820117+00:00
Daniel Gafford,DAL,2,4.8,2.3,,2,2026-03-18T05:03:38.820117+00:00
Malik Monk,SAC,1,5,2.1,,3,2026-03-18T05:03:38.820117+00:00
Collin Sexton,CHI,73,4.9,1.9,,4,2026-03-18T05:03:38.820117+00:00
Maxime Raynaud,SAC,255,4.4,2.1,,5,2026-03-18T05:03:38.820117+00:00
Paolo Banchero,ORL,152,6.3,0.6,,6,2026-03-18T05:03:38.820117+00:00
Baylor Scheierman,BOS,2,3.2,3.0,,7,2026-03-18T05:03:38.820117+00:00
Russell Westbrook,SAC,85,5,1.1,,8,2026-03-18T05:03:38.820117+00:00
RJ Barrett,TOR,9,4.9,1.0,,9,2026-03-18T05:03:38.820117+00:00
Jakob Poeltl,TOR,17,4,1.6,,10,2026-03-18T05:03:38.820117+00:00
Dylan Harper,SAS,6,3.8,1.7,,11,2026-03-18T05:03:38.820117+00:00
Jalen Green,PHX,281,3.1,2.1,,12,2026-03-18T05:03:38.820117+00:00
Victor Wembanyama,SAS,2500,5.4,0.3,,13,2026-03-18T05:03:38.820117+00:00
