player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Cameron Payne,PHI,11,7.7,3.0,,1,2026-03-18T05:03:38.820412+00:00
Bam Adebayo,MIA,388,12.7,0.6,,2,2026-03-18T05:03:38.820412+00:00
Matas Buzelis,CHI,79,6.5,1.4,,3,2026-03-18T05:03:38.820412+00:00
Kyle Kuzma,MIL,1,5.9,1.7,,4,2026-03-18T05:03:38.820412+00:00
Devin Carter,SAC,2,4.3,3.0,,5,2026-03-18T05:03:38.820412+00:00
Ousmane Dieng,MIL,12,3.9,3.0,,6,2026-03-18T05:03:38.820412+00:00
Ron Harper Jr.,BOS,1,3.9,3.0,,7,2026-03-18T05:03:38.820412+00:00
Kam Jones,IND,5,3.5,3.0,,8,2026-03-18T05:03:38.820412+00:00
Aaron Nesmith,IND,12,4.4,1.9,,9,2026-03-18T05:03:38.820412+00:00
Royce O'Neale,PHX,5,4.3,2.0,,10,2026-03-18T05:03:38.820412+00:00
Myles Turner,MIL,1,4.3,1.6,,11,2026-03-18T05:03:38.820412+00:00
De'Aaron Fox,SA,34,5.9,0.6,,12,2026-03-18T05:03:38.820412+00:00
Derrick White,BOS,251,5.7,0.7,,13,2026-03-18T05:03:38.820412+00:00
