player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Taylor Hendricks,MEM,1,4.1,3.0,,1,2026-03-18T05:03:38.819783+00:00
Gui Santos,GSW,191,4.1,2.9,,2,2026-03-18T05:03:38.819783+00:00
Ousmane Dieng,MIL,16,3.1,3.0,,3,2026-03-18T05:03:38.819783+00:00
Quentin Grimes,PHI,58,3.8,1.7,,4,2026-03-18T05:03:38.819783+00:00
Isaiah Jackson,LAC,2,2.7,3.0,,5,2026-03-18T05:03:38.819783+00:00
Kelly Oubre Jr.,PHI,15,3.9,1.5,,6,2026-03-18T05:03:38.819783+00:00
Ziaire Williams,BKN,1,2.8,3.0,,7,2026-03-18T05:03:38.819783+00:00
Cody Williams,UTA,2,2.6,3.0,,8,2026-03-18T05:03:38.819783+00:00
Kyle Filipowski,UTA,598,3.2,2.0,,9,2026-03-18T05:03:38.819783+00:00
Jalen Johnson,ATL,734,5.5,0.3,,10,2026-03-18T05:03:38.819783+00:00
Marcus Sasser,DET,1,2.5,3.0,,11,2026-03-18T05:03:38.819783+00:00
Anthony Edwards,MIN,1700,5.4,0.3,,12,2026-03-18T05:03:38.819783+00:00
Tristan da Silva,ORL,32,2.6,2.7,,13,2026-03-18T05:03:38.819783+00:00
