winner_rank,drafter_label,total_score,slot_index,player_name,team,actual_rs,slot_mult,card_boost,saved_at
1,lilghost,47.52,1,Garrett Crochet,BOS,5.8,2.0,,2025-03-26
1,lilghost,47.52,2,Tarik Skubal,DET,6.0,1.8,,2025-03-26
1,lilghost,47.52,3,Jose Soriano,LAA,5.6,1.6,,2025-03-26
1,lilghost,47.52,4,Cristopher Sanchez,PHI,6.8,1.4,,2025-03-26
1,lilghost,47.52,5,Joe Ryan,MIN,5.6,1.2,,2025-03-26
2,krisppykremee,46.19,1,Cristopher Sanchez,PHI,6.8,2.0,,2025-03-26
2,krisppykremee,46.19,2,Tarik Skubal,DET,6.0,1.8,,2025-03-26
2,krisppykremee,46.19,3,Trevor Rogers,BAL,5.9,1.6,,2025-03-26
2,krisppykremee,46.19,4,Hunter Brown,HOU,3.8,1.4,,2025-03-26
2,krisppykremee,46.19,5,Garrett Crochet,BOS,5.8,1.2,,2025-03-26
3,kajhon,45.76,1,Garrett Crochet,BOS,5.8,2.0,,2025-03-26
3,kajhon,45.76,2,Tarik Skubal,DET,6.0,1.8,,2025-03-26
3,kajhon,45.76,3,Jacob Misiorowski,MIL,4.2,1.6,,2025-03-26
3,kajhon,45.76,4,Cristopher Sanchez,PHI,6.8,1.4,,2025-03-26
3,kajhon,45.76,5,Trevor Rogers,BAL,5.9,1.2,,2025-03-26
4,_nate_,45.74,1,Garrett Crochet,BOS,5.8,2.0,,2025-03-26
4,_nate_,45.74,2,Tarik Skubal,DET,6.0,1.8,,2025-03-26
4,_nate_,45.74,3,Cristopher Sanchez,PHI,6.8,1.6,,2025-03-26
4,_nate_,45.74,4,Hunter Brown,HOU,3.8,1.4,,2025-03-26
4,_nate_,45.74,5,Trevor Rogers,BAL,5.9,1.2,,2025-03-26
5,jorbius,45.41,1,Tarik Skubal,DET,6.0,2.0,,2025-03-26
5,jorbius,45.41,2,Garrett Crochet,BOS,5.8,1.8,,2025-03-26
5,jorbius,45.41,3,Jacob Misiorowski,MIL,4.2,1.6,,2025-03-26
5,jorbius,45.41,4,Cristopher Sanchez,PHI,6.8,1.4,,2025-03-26
5,jorbius,45.41,5,Joe Ryan,MIN,5.6,1.2,,2025-03-26
6,nolimit,45.15,1,Tarik Skubal,DET,6.0,2.0,,2025-03-26
6,nolimit,45.15,2,Garrett Crochet,BOS,5.8,1.8,,2025-03-26
6,nolimit,45.15,3,Jacob Misiorowski,MIL,4.2,1.6,,2025-03-26
6,nolimit,45.15,4,Jose Soriano,LAA,5.6,1.4,,2025-03-26
6,nolimit,45.15,5,Cristopher Sanchez,PHI,6.8,1.2,,2025-03-26
7,mpls,45.14,1,Garrett Crochet,BOS,5.8,2.0,,2025-03-26
7,mpls,45.14,2,Tarik Skubal,DET,6.0,1.8,,2025-03-26
7,mpls,45.14,3,Hunter Brown,HOU,3.8,1.6,,2025-03-26
7,mpls,45.14,4,Cristopher Sanchez,PHI,6.8,1.4,,2025-03-26
7,mpls,45.14,5,Trevor Rogers,BAL,5.9,1.2,,2025-03-26
8,no1ryan,44.79,1,Tarik Skubal,DET,6.0,2.0,,2025-03-26
8,no1ryan,44.79,2,Garrett Crochet,BOS,5.8,1.8,,2025-03-26
8,no1ryan,44.79,3,Hunter Brown,HOU,3.8,1.6,,2025-03-26
8,no1ryan,44.79,4,Cristopher Sanchez,PHI,6.8,1.4,,2025-03-26
8,no1ryan,44.79,5,Jose Soriano,LAA,5.6,1.2,,2025-03-26
